strategy,lang,accuracy,precision,recall,f1,n_errors,avg_latency_s
cot,en,0.7472,0.7472,0.7472,0.7472,98,0.227
cot,ru,0.7412,0.742,0.7412,0.741,88,0.247
decomposed,en,0.692,0.7192,0.692,0.6822,0,0.296
decomposed,ru,0.636,0.6651,0.636,0.6192,0,0.292
few_shot_2,en,0.6913,0.6914,0.6913,0.6913,67,0.057
few_shot_2,ru,0.7043,0.7087,0.7043,0.7025,60,0.058
few_shot_4,en,0.6773,0.6794,0.6773,0.6765,61,0.06
few_shot_4,ru,0.683,0.6842,0.683,0.6826,60,0.06
few_shot_6,en,0.6983,0.6984,0.6983,0.6983,72,0.066
few_shot_6,ru,0.7117,0.7118,0.7117,0.7116,67,0.066
few_shot_8,en,0.6906,0.6906,0.6906,0.6906,66,0.074
few_shot_8,ru,0.7184,0.7191,0.7184,0.7181,66,0.066
self_consistency,en,0.7577,0.7578,0.7577,0.7577,96,2.536
self_consistency,ru,0.7467,0.7481,0.7467,0.7463,88,1.435
zero_shot,en,0.7389,0.7422,0.7389,0.7383,77,0.058
zero_shot,ru,0.7492,0.7492,0.7492,0.7492,71,0.06
